Maximum fit for each generation: 
Best fit for generation 0: 419
Best fit for generation 1: 419
Best fit for generation 2: 419
Best fit for generation 3: 419
Best fit for generation 4: 419
Best fit for generation 5: 419
Best fit for generation 6: 419
Best fit for generation 7: 419
Best fit for generation 8: 419
Best fit for generation 9: 419
Best fit for generation 10: 419
Best fit for generation 11: 419
Best fit for generation 12: 419
Best fit for generation 13: 419
Best fit for generation 14: 419
Best fit for generation 15: 419
Best fit for generation 16: 419
Best fit for generation 17: 419
Best fit for generation 18: 419
Best fit for generation 19: 419
Best fit for generation 20: 419
Best fit for generation 21: 419
Best fit for generation 22: 419
Best fit for generation 23: 419
Best fit for generation 24: 419
Best fit for generation 25: 419
Best fit for generation 26: 419
Best fit for generation 27: 419
Best fit for generation 28: 419
Best fit for generation 29: 419
Best fit for generation 30: 419
Best fit for generation 31: 419
Best fit for generation 32: 419
Best fit for generation 33: 419
Best fit for generation 34: 419
Best fit for generation 35: 419
Best fit for generation 36: 419
Best fit for generation 37: 419
Best fit for generation 38: 419
Best fit for generation 39: 419
Best fit for generation 40: 419
Best fit for generation 41: 419
Best fit for generation 42: 419
Best fit for generation 43: 419
Best fit for generation 44: 419
Best fit for generation 45: 419
Best fit for generation 46: 419
Best fit for generation 47: 419
Best fit for generation 48: 419
Best fit for generation 49: 419
Best fit for generation 50: 419
Best fit for generation 51: 419
Best fit for generation 52: 419
Best fit for generation 53: 419
Best fit for generation 54: 419
Best fit for generation 55: 419
Best fit for generation 56: 419
Best fit for generation 57: 419
Best fit for generation 58: 419
Best fit for generation 59: 419
Best fit for generation 60: 419
Best fit for generation 61: 419
Best fit for generation 62: 419
Best fit for generation 63: 419
Best fit for generation 64: 419
Best fit for generation 65: 419
Best fit for generation 66: 419
Best fit for generation 67: 419
Best fit for generation 68: 419
Best fit for generation 69: 419
Best fit for generation 70: 419
Best fit for generation 71: 419
Best fit for generation 72: 419
Best fit for generation 73: 419
Best fit for generation 74: 419
Best fit for generation 75: 419
Best fit for generation 76: 419
Best fit for generation 77: 419
Best fit for generation 78: 419
Best fit for generation 79: 419
Best fit for generation 80: 419
Best fit for generation 81: 419
Best fit for generation 82: 419
Best fit for generation 83: 419
Best fit for generation 84: 419
Best fit for generation 85: 419
Best fit for generation 86: 419
Best fit for generation 87: 419
Best fit for generation 88: 419
Best fit for generation 89: 419
Best fit for generation 90: 419
Best fit for generation 91: 419
Best fit for generation 92: 419
Best fit for generation 93: 419
Best fit for generation 94: 419
Best fit for generation 95: 419
Best fit for generation 96: 419
Best fit for generation 97: 419
Best fit for generation 98: 419
Best fit for generation 99: 419
Best fit for generation 100: 419
Best fit for generation 101: 419
Best fit for generation 102: 419
Best fit for generation 103: 419
Best fit for generation 104: 419
Best fit for generation 105: 419
Best fit for generation 106: 419
Best fit for generation 107: 419
Best fit for generation 108: 419
Best fit for generation 109: 419
Best fit for generation 110: 419
Best fit for generation 111: 419
Best fit for generation 112: 419
Best fit for generation 113: 419
Best fit for generation 114: 419
Best fit for generation 115: 419
Best fit for generation 116: 419
Best fit for generation 117: 419
Best fit for generation 118: 419
Best fit for generation 119: 419
Best fit for generation 120: 419
Best fit for generation 121: 419
Best fit for generation 122: 419
Best fit for generation 123: 419
Best fit for generation 124: 419
Best fit for generation 125: 419
Best fit for generation 126: 419
Best fit for generation 127: 419
Best fit for generation 128: 419
Best fit for generation 129: 419
Best fit for generation 130: 419
Best fit for generation 131: 419
Best fit for generation 132: 419
Best fit for generation 133: 419
Best fit for generation 134: 419
Best fit for generation 135: 419
Best fit for generation 136: 419
Best fit for generation 137: 419
Best fit for generation 138: 419
Best fit for generation 139: 419
Best fit for generation 140: 419
Best fit for generation 141: 419
Best fit for generation 142: 419
Best fit for generation 143: 419
Best fit for generation 144: 419
Best fit for generation 145: 419
Best fit for generation 146: 419
Best fit for generation 147: 419
Best fit for generation 148: 419
Best fit for generation 149: 419
Best fit for generation 150: 419
Best fit for generation 151: 419
Best fit for generation 152: 419
Best fit for generation 153: 419
Best fit for generation 154: 419
Best fit for generation 155: 419
Best fit for generation 156: 419
Best fit for generation 157: 419
Best fit for generation 158: 419
Best fit for generation 159: 419
Best fit for generation 160: 419
Best fit for generation 161: 419
Best fit for generation 162: 419
Best fit for generation 163: 419
Best fit for generation 164: 419
Best fit for generation 165: 419
Best fit for generation 166: 419
