Maximum fit for each generation: 
Best fit for generation 0: 558
Best fit for generation 1: 558
Best fit for generation 2: 558
Best fit for generation 3: 558
Best fit for generation 4: 558
Best fit for generation 5: 558
Best fit for generation 6: 558
Best fit for generation 7: 558
Best fit for generation 8: 558
Best fit for generation 9: 558
Best fit for generation 10: 558
Best fit for generation 11: 558
Best fit for generation 12: 558
Best fit for generation 13: 558
Best fit for generation 14: 558
Best fit for generation 15: 558
Best fit for generation 16: 558
Best fit for generation 17: 558
Best fit for generation 18: 558
Best fit for generation 19: 558
Best fit for generation 20: 558
Best fit for generation 21: 558
Best fit for generation 22: 558
Best fit for generation 23: 558
Best fit for generation 24: 558
Best fit for generation 25: 558
Best fit for generation 26: 558
Best fit for generation 27: 558
Best fit for generation 28: 558
Best fit for generation 29: 558
Best fit for generation 30: 558
Best fit for generation 31: 558
Best fit for generation 32: 558
Best fit for generation 33: 558
Best fit for generation 34: 558
Best fit for generation 35: 558
Best fit for generation 36: 558
Best fit for generation 37: 558
Best fit for generation 38: 558
Best fit for generation 39: 558
Best fit for generation 40: 558
Best fit for generation 41: 558
Best fit for generation 42: 558
Best fit for generation 43: 558
Best fit for generation 44: 558
Best fit for generation 45: 558
Best fit for generation 46: 558
Best fit for generation 47: 558
Best fit for generation 48: 558
Best fit for generation 49: 558
Best fit for generation 50: 558
Best fit for generation 51: 558
Best fit for generation 52: 558
Best fit for generation 53: 558
Best fit for generation 54: 558
Best fit for generation 55: 558
Best fit for generation 56: 558
Best fit for generation 57: 558
Best fit for generation 58: 558
Best fit for generation 59: 558
Best fit for generation 60: 558
Best fit for generation 61: 558
Best fit for generation 62: 558
Best fit for generation 63: 558
Best fit for generation 64: 558
Best fit for generation 65: 558
Best fit for generation 66: 558
Best fit for generation 67: 558
Best fit for generation 68: 558
Best fit for generation 69: 558
Best fit for generation 70: 558
Best fit for generation 71: 558
Best fit for generation 72: 558
Best fit for generation 73: 558
Best fit for generation 74: 558
Best fit for generation 75: 558
Best fit for generation 76: 558
Best fit for generation 77: 558
Best fit for generation 78: 558
Best fit for generation 79: 558
Best fit for generation 80: 558
Best fit for generation 81: 558
Best fit for generation 82: 558
Best fit for generation 83: 558
Best fit for generation 84: 558
Best fit for generation 85: 558
Best fit for generation 86: 558
Best fit for generation 87: 558
Best fit for generation 88: 558
Best fit for generation 89: 558
Best fit for generation 90: 558
Best fit for generation 91: 558
Best fit for generation 92: 558
Best fit for generation 93: 558
Best fit for generation 94: 558
Best fit for generation 95: 558
Best fit for generation 96: 558
Best fit for generation 97: 558
Best fit for generation 98: 558
Best fit for generation 99: 558
Best fit for generation 100: 558
Best fit for generation 101: 558
Best fit for generation 102: 558
Best fit for generation 103: 558
Best fit for generation 104: 558
Best fit for generation 105: 558
Best fit for generation 106: 558
Best fit for generation 107: 558
Best fit for generation 108: 558
Best fit for generation 109: 558
Best fit for generation 110: 558
Best fit for generation 111: 558
Best fit for generation 112: 558
Best fit for generation 113: 558
Best fit for generation 114: 558
Best fit for generation 115: 558
Best fit for generation 116: 558
Best fit for generation 117: 558
Best fit for generation 118: 558
Best fit for generation 119: 558
Best fit for generation 120: 558
Best fit for generation 121: 558
Best fit for generation 122: 558
Best fit for generation 123: 558
Best fit for generation 124: 558
Best fit for generation 125: 558
Best fit for generation 126: 558
Best fit for generation 127: 558
Best fit for generation 128: 558
Best fit for generation 129: 558
Best fit for generation 130: 558
Best fit for generation 131: 558
Best fit for generation 132: 558
Best fit for generation 133: 558
Best fit for generation 134: 558
Best fit for generation 135: 558
Best fit for generation 136: 558
Best fit for generation 137: 558
Best fit for generation 138: 558
Best fit for generation 139: 558
Best fit for generation 140: 558
Best fit for generation 141: 558
Best fit for generation 142: 558
Best fit for generation 143: 558
Best fit for generation 144: 558
Best fit for generation 145: 558
Best fit for generation 146: 558
Best fit for generation 147: 558
Best fit for generation 148: 558
Best fit for generation 149: 558
Best fit for generation 150: 558
Best fit for generation 151: 558
Best fit for generation 152: 558
Best fit for generation 153: 558
Best fit for generation 154: 558
